Step: 2097152   Mean reward: 21.78125   Mean validation reward: 19.671875
Step: 2113536   Mean reward: 21.640625  Mean validation reward: 22.453125
Step: 2129920   Mean reward: 21.890625  Mean validation reward: 21.296875
Step: 2146304   Mean reward: 20.875     Mean validation reward: 21.765625
Step: 2162688   Mean reward: 22.296875  Mean validation reward: 22.3125
Step: 2179072   Mean reward: 23.078125  Mean validation reward: 22.09375
Step: 2195456   Mean reward: 22.40625   Mean validation reward: 21.03125
Step: 2211840   Mean reward: 23.21875   Mean validation reward: 21.6875
Step: 2228224   Mean reward: 21.78125   Mean validation reward: 23.34375
Step: 2244608   Mean reward: 22.0       Mean validation reward: 22.171875
Step: 2260992   Mean reward: 22.703125  Mean validation reward: 22.0625
Step: 2277376   Mean reward: 22.75      Mean validation reward: 22.546875
Step: 2293760   Mean reward: 21.96875   Mean validation reward: 22.390625
Step: 2310144   Mean reward: 24.265625  Mean validation reward: 21.4375
Step: 2326528   Mean reward: 23.234375  Mean validation reward: 23.140625
Step: 2342912   Mean reward: 22.84375   Mean validation reward: 22.828125
Step: 2359296   Mean reward: 22.34375   Mean validation reward: 20.9375
Step: 2375680   Mean reward: 22.828125  Mean validation reward: 23.078125
Step: 2392064   Mean reward: 23.765625  Mean validation reward: 22.0
Step: 2408448   Mean reward: 23.953125  Mean validation reward: 23.609375
Step: 2424832   Mean reward: 23.078125  Mean validation reward: 22.125
Step: 2441216   Mean reward: 23.9375    Mean validation reward: 21.359375
Step: 2457600   Mean reward: 22.40625   Mean validation reward: 22.171875
Step: 2473984   Mean reward: 23.78125   Mean validation reward: 23.265625
Step: 2490368   Mean reward: 23.265625  Mean validation reward: 21.703125
Step: 2506752   Mean reward: 23.890625  Mean validation reward: 23.0
Step: 2523136   Mean reward: 23.75      Mean validation reward: 23.125
Step: 2539520   Mean reward: 23.96875   Mean validation reward: 23.53125
Step: 2555904   Mean reward: 24.171875  Mean validation reward: 23.578125
Step: 2572288   Mean reward: 22.75      Mean validation reward: 23.515625
Step: 2588672   Mean reward: 23.484375  Mean validation reward: 24.03125
Step: 2605056   Mean reward: 23.96875   Mean validation reward: 23.4375
Step: 2621440   Mean reward: 23.890625  Mean validation reward: 23.203125
Step: 2637824   Mean reward: 23.109375  Mean validation reward: 23.234375
Step: 2654208   Mean reward: 22.078125  Mean validation reward: 23.34375
Step: 2670592   Mean reward: 23.171875  Mean validation reward: 23.578125
Step: 2686976   Mean reward: 23.6875    Mean validation reward: 22.78125
Step: 2703360   Mean reward: 23.765625  Mean validation reward: 23.078125
Step: 2719744   Mean reward: 23.625     Mean validation reward: 22.875
Step: 2736128   Mean reward: 22.875     Mean validation reward: 23.46875
Step: 2752512   Mean reward: 22.40625   Mean validation reward: 23.59375
Step: 2768896   Mean reward: 24.296875  Mean validation reward: 24.28125
Step: 2785280   Mean reward: 24.75      Mean validation reward: 23.71875
Step: 2801664   Mean reward: 23.109375  Mean validation reward: 23.390625
Step: 2818048   Mean reward: 24.890625  Mean validation reward: 23.296875
Step: 2834432   Mean reward: 25.75      Mean validation reward: 23.03125
Step: 2850816   Mean reward: 23.3125    Mean validation reward: 24.765625
Step: 2867200   Mean reward: 24.578125  Mean validation reward: 23.546875
Step: 2883584   Mean reward: 25.15625   Mean validation reward: 24.453125
Step: 2899968   Mean reward: 25.296875  Mean validation reward: 22.5625
Step: 2916352   Mean reward: 23.59375   Mean validation reward: 22.890625
Step: 2932736   Mean reward: 24.828125  Mean validation reward: 23.03125
Step: 2949120   Mean reward: 24.734375  Mean validation reward: 23.265625
Step: 2965504   Mean reward: 25.40625   Mean validation reward: 23.28125
Step: 2981888   Mean reward: 26.015625  Mean validation reward: 23.71875
Step: 2998272   Mean reward: 24.90625   Mean validation reward: 24.03125
Step: 3014656   Mean reward: 24.78125   Mean validation reward: 23.671875
Step: 3031040   Mean reward: 25.53125   Mean validation reward: 24.21875
Step: 3047424   Mean reward: 24.703125  Mean validation reward: 23.640625
Step: 3063808   Mean reward: 24.328125  Mean validation reward: 23.765625
Step: 3080192   Mean reward: 25.375     Mean validation reward: 25.4375
Step: 3096576   Mean reward: 25.5       Mean validation reward: 23.6875
Step: 3112960   Mean reward: 26.375     Mean validation reward: 26.15625
Step: 3129344   Mean reward: 24.6875    Mean validation reward: 24.875
Step: 3145728   Mean reward: 24.734375  Mean validation reward: 24.234375
Step: 3162112   Mean reward: 23.984375  Mean validation reward: 23.765625
Step: 3178496   Mean reward: 25.78125   Mean validation reward: 23.984375
Step: 3194880   Mean reward: 23.5       Mean validation reward: 25.296875
Step: 3211264   Mean reward: 24.375     Mean validation reward: 24.609375
Step: 3227648   Mean reward: 24.890625  Mean validation reward: 24.515625
Step: 3244032   Mean reward: 24.90625   Mean validation reward: 24.34375
Step: 3260416   Mean reward: 23.734375  Mean validation reward: 25.3125
Step: 3276800   Mean reward: 26.234375  Mean validation reward: 23.390625
Step: 3293184   Mean reward: 25.296875  Mean validation reward: 23.140625
Step: 3309568   Mean reward: 25.015625  Mean validation reward: 24.421875
Step: 3325952   Mean reward: 24.515625  Mean validation reward: 22.640625
Step: 3342336   Mean reward: 24.390625  Mean validation reward: 24.734375
Step: 3358720   Mean reward: 24.15625   Mean validation reward: 24.9375
Step: 3375104   Mean reward: 25.234375  Mean validation reward: 23.265625
Step: 3391488   Mean reward: 24.984375  Mean validation reward: 24.09375
Step: 3407872   Mean reward: 24.03125   Mean validation reward: 22.53125
Step: 3424256   Mean reward: 25.859375  Mean validation reward: 23.5
Step: 3440640   Mean reward: 24.640625  Mean validation reward: 23.40625
Step: 3457024   Mean reward: 23.765625  Mean validation reward: 22.484375
Step: 3473408   Mean reward: 25.15625   Mean validation reward: 23.625
Step: 3489792   Mean reward: 25.46875   Mean validation reward: 25.125
Step: 3506176   Mean reward: 23.9375    Mean validation reward: 24.171875
Step: 3522560   Mean reward: 24.8125    Mean validation reward: 24.125
Step: 3538944   Mean reward: 25.75      Mean validation reward: 25.40625
Step: 3555328   Mean reward: 24.90625   Mean validation reward: 25.234375
Step: 3571712   Mean reward: 24.8125    Mean validation reward: 25.40625
Step: 3588096   Mean reward: 25.515625  Mean validation reward: 24.3125
Step: 3604480   Mean reward: 24.90625   Mean validation reward: 24.765625
Step: 3620864   Mean reward: 24.75      Mean validation reward: 24.4375
Step: 3637248   Mean reward: 24.40625   Mean validation reward: 24.1875
Step: 3653632   Mean reward: 26.140625  Mean validation reward: 25.09375
Step: 3670016   Mean reward: 24.671875  Mean validation reward: 25.09375
Step: 3686400   Mean reward: 25.015625  Mean validation reward: 23.671875
Step: 3702784   Mean reward: 25.9375    Mean validation reward: 24.90625
Step: 3719168   Mean reward: 24.984375  Mean validation reward: 25.34375
Step: 3735552   Mean reward: 24.609375  Mean validation reward: 23.484375
Step: 3751936   Mean reward: 24.84375   Mean validation reward: 25.640625
Step: 3768320   Mean reward: 25.109375  Mean validation reward: 24.75
Step: 3784704   Mean reward: 25.6875    Mean validation reward: 24.03125
Step: 3801088   Mean reward: 25.078125  Mean validation reward: 25.46875
Step: 3817472   Mean reward: 25.59375   Mean validation reward: 24.421875
Step: 3833856   Mean reward: 25.0625    Mean validation reward: 25.40625
Step: 3850240   Mean reward: 25.5       Mean validation reward: 25.03125
Step: 3866624   Mean reward: 24.78125   Mean validation reward: 24.078125
Step: 3883008   Mean reward: 25.234375  Mean validation reward: 25.09375
Step: 3899392   Mean reward: 26.40625   Mean validation reward: 24.625
Step: 3915776   Mean reward: 24.71875   Mean validation reward: 24.890625
Step: 3932160   Mean reward: 25.3125    Mean validation reward: 24.921875
Step: 3948544   Mean reward: 24.515625  Mean validation reward: 25.078125
Step: 3964928   Mean reward: 25.984375  Mean validation reward: 24.578125
Step: 3981312   Mean reward: 25.15625   Mean validation reward: 25.484375
Step: 3997696   Mean reward: 25.46875   Mean validation reward: 24.671875
Step: 4014080   Mean reward: 25.953125  Mean validation reward: 25.21875
Step: 4030464   Mean reward: 25.203125  Mean validation reward: 25.125
Step: 4046848   Mean reward: 26.0625    Mean validation reward: 25.640625
Step: 4063232   Mean reward: 26.515625  Mean validation reward: 25.609375
Step: 4079616   Mean reward: 26.140625  Mean validation reward: 25.5625
Step: 4096000   Mean reward: 26.03125   Mean validation reward: 25.28125
Step: 4112384   Mean reward: 26.875     Mean validation reward: 24.546875
Step: 4128768   Mean reward: 26.453125  Mean validation reward: 27.40625
Step: 4145152   Mean reward: 26.359375  Mean validation reward: 25.640625
Step: 4161536   Mean reward: 26.46875   Mean validation reward: 25.234375
Step: 4177920   Mean reward: 25.828125  Mean validation reward: 25.984375
Step: 4194304   Mean reward: 26.4375    Mean validation reward: 25.703125
Step: 4210688   Mean reward: 25.828125  Mean validation reward: 25.609375
Step: 4227072   Mean reward: 25.703125  Mean validation reward: 26.453125
Step: 4243456   Mean reward: 25.609375  Mean validation reward: 25.296875
Step: 4259840   Mean reward: 26.171875  Mean validation reward: 26.0
Step: 4276224   Mean reward: 24.78125   Mean validation reward: 23.21875
Step: 4292608   Mean reward: 25.9375    Mean validation reward: 25.96875
Step: 4308992   Mean reward: 26.546875  Mean validation reward: 25.640625
Step: 4325376   Mean reward: 26.328125  Mean validation reward: 24.765625
Step: 4341760   Mean reward: 26.84375   Mean validation reward: 26.34375
Step: 4358144   Mean reward: 25.140625  Mean validation reward: 25.9375
Step: 4374528   Mean reward: 25.859375  Mean validation reward: 24.703125
Step: 4390912   Mean reward: 26.734375  Mean validation reward: 25.65625
Step: 4407296   Mean reward: 26.875     Mean validation reward: 24.953125
Step: 4423680   Mean reward: 26.453125  Mean validation reward: 23.46875
