steps,train,test
5341184,26.765625,26.203125
5357568,24.890625,25.828125
5373952,25.453125,23.921875
5390336,25.828125,25.703125
5406720,26.265625,25.25
5423104,25.640625,25.25
5439488,26.4375,25.859375
5455872,26.84375,25.875
5472256,26.125,25.171875
5488640,26.703125,25.890625
5505024,25.984375,26.25
5521408,27.21875,24.046875
5537792,26.796875,25.328125
5554176,27.140625,24.96875
5570560,25.984375,25.984375
5586944,26.015625,25.890625
5603328,26.5,25.015625
5619712,26.296875,25.9375
5636096,27.203125,27.6875
5652480,25.1875,26.6875
5668864,26.25,25.984375
5685248,26.234375,25.90625
5701632,25.765625,25.328125
5718016,25.359375,25.046875
5734400,27.171875,25.34375
5750784,25.921875,25.421875
5767168,25.6875,26.78125
5783552,25.671875,25.8125
5799936,26.78125,25.484375
5816320,26.5625,26.9375
5832704,27.0,25.703125
5849088,26.40625,25.921875
5865472,27.265625,26.859375
5881856,25.375,26.3125
5898240,25.25,26.453125
5914624,26.09375,26.671875
5931008,25.15625,25.453125
5947392,26.609375,25.109375
5963776,24.625,25.328125
5980160,25.359375,26.046875
5996544,27.328125,26.234375
6012928,26.484375,25.8125
6029312,26.546875,25.9375
6045696,27.78125,25.859375
6062080,25.75,25.109375
6078464,26.3125,25.6875
6094848,26.46875,27.140625
6111232,27.4375,26.078125
6127616,27.875,26.46875
6144000,25.78125,26.09375
6160384,27.9375,27.109375
6176768,26.0,27.15625
6193152,26.25,26.359375
6209536,26.4375,25.6875
6225920,26.125,26.15625
6242304,27.578125,25.046875
6258688,26.625,26.46875
6275072,26.515625,27.140625
6291456,28.265625,26.90625
6307840,25.578125,26.390625
6324224,26.578125,26.484375
6340608,28.046875,26.265625
6356992,26.96875,26.203125
6373376,26.34375,26.4375
6389760,26.546875,26.296875
6406144,25.625,25.453125
6422528,26.390625,26.359375
6438912,26.671875,26.1875
6455296,26.109375,25.796875
6471680,26.46875,25.296875
6488064,26.71875,26.34375
6504448,25.59375,25.984375
6520832,26.328125,26.625
6537216,27.0625,25.828125
6553600,27.03125,26.03125
6569984,25.984375,25.390625
6586368,26.90625,26.953125
6602752,27.5,26.171875
6619136,26.734375,25.828125
6635520,26.296875,26.953125
6651904,26.609375,26.046875
6668288,26.265625,24.890625
6684672,26.875,26.765625
6701056,26.90625,26.34375
6717440,26.25,25.96875
6733824,27.21875,24.53125
6750208,26.96875,26.484375
6766592,27.234375,25.390625
6782976,25.5,26.5625
6799360,26.71875,27.390625
6815744,26.9375,25.03125
6832128,25.25,25.8125
6848512,26.65625,25.09375
6864896,25.796875,26.578125
6881280,25.53125,25.65625
6897664,25.703125,26.078125
6914048,26.625,25.296875
6930432,26.21875,25.8125
6946816,26.140625,25.734375
6963200,26.265625,25.53125
6979584,26.4375,24.515625
6995968,27.09375,26.03125
7012352,24.453125,25.609375
7028736,25.5625,25.78125
7045120,26.515625,25.578125
7061504,25.46875,25.203125
7077888,25.015625,26.265625
7094272,26.703125,25.171875
7110656,25.140625,25.34375
7127040,26.359375,24.78125
7143424,26.609375,25.484375
7159808,25.859375,26.46875
7176192,25.9375,24.953125
7192576,27.0625,26.15625
7208960,26.359375,26.046875
7225344,26.15625,27.296875
7241728,26.609375,25.140625
7258112,25.84375,26.25
7274496,27.125,26.359375
7290880,26.65625,25.375
7307264,27.0625,26.75
7323648,27.34375,26.25
7340032,26.34375,25.671875
7356416,28.0625,26.453125
7372800,26.890625,26.265625
7389184,25.125,26.90625
7405568,26.703125,26.109375
7421952,27.34375,26.40625
7438336,28.375,25.140625
7454720,26.328125,25.515625
7471104,27.359375,26.34375
7487488,27.234375,26.09375
7503872,27.515625,25.484375
7520256,27.203125,25.890625
7536640,27.015625,26.046875
7553024,25.671875,26.640625
7569408,26.65625,25.796875
7585792,27.296875,27.328125
7602176,27.015625,27.4375
7618560,28.28125,25.234375
7634944,26.5,25.328125
7651328,27.5,26.65625
7667712,26.65625,25.421875
7684096,26.890625,26.40625
7700480,27.265625,26.0625
7716864,26.5,26.984375
7733248,27.640625,26.109375
7749632,28.046875,25.875
7766016,27.453125,25.65625
7782400,25.609375,27.515625
7798784,26.671875,24.75
7815168,26.453125,27.953125
7831552,27.875,27.0625
7847936,26.59375,25.46875
7864320,26.625,27.515625
7880704,27.328125,26.734375
7897088,26.921875,28.203125
7913472,26.859375,26.671875
7929856,27.1875,26.84375
7946240,26.34375,25.015625
7962624,28.03125,25.90625
7979008,26.1875,26.890625
7995392,26.375,26.515625
8011776,27.21875,26.875
